artists,available_markets,disc_number,duration_ms,explicit,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.is_playable,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify
,,1,270880,FALSE,https://api.spotify.com/v1/tracks/3xX3PvWutclSNMj2PMlBMq,3xX3PvWutclSNMj2PMlBMq,FALSE,TRUE,"Hey you ?, Hey sup ?",10,NA,1,track,spotify:track:3xX3PvWutclSNMj2PMlBMq,album,,,https://api.spotify.com/v1/albums/6eh8jwiGzGKCivxYxQRy9Y,6eh8jwiGzGKCivxYxQRy9Y,,TRUE,Snazzy,2024-03-27,day,9,album,spotify:album:6eh8jwiGzGKCivxYxQRy9Y,https://open.spotify.com/album/6eh8jwiGzGKCivxYxQRy9Y,JPU902400764,https://open.spotify.com/track/3xX3PvWutclSNMj2PMlBMq
,,1,263720,FALSE,https://api.spotify.com/v1/tracks/0zvN9oq95bIEQjvfcdeZlX,0zvN9oq95bIEQjvfcdeZlX,FALSE,TRUE,Red Swan,66,NA,1,track,spotify:track:0zvN9oq95bIEQjvfcdeZlX,single,,,https://api.spotify.com/v1/albums/6I13Z2eInmybf3WZl4wduL,6I13Z2eInmybf3WZl4wduL,,TRUE,Red Swan,2018-10-03,day,2,album,spotify:album:6I13Z2eInmybf3WZl4wduL,https://open.spotify.com/album/6I13Z2eInmybf3WZl4wduL,JPPC01801674,https://open.spotify.com/track/0zvN9oq95bIEQjvfcdeZlX
,,1,348440,FALSE,https://api.spotify.com/v1/tracks/545SZ72OF32Pbej9aQcjtF,545SZ72OF32Pbej9aQcjtF,FALSE,TRUE,Psychedelic City,8,NA,4,track,spotify:track:545SZ72OF32Pbej9aQcjtF,album,,,https://api.spotify.com/v1/albums/6eh8jwiGzGKCivxYxQRy9Y,6eh8jwiGzGKCivxYxQRy9Y,,TRUE,Snazzy,2024-03-27,day,9,album,spotify:album:6eh8jwiGzGKCivxYxQRy9Y,https://open.spotify.com/album/6eh8jwiGzGKCivxYxQRy9Y,JPU902400768,https://open.spotify.com/track/545SZ72OF32Pbej9aQcjtF
,,1,197029,FALSE,https://api.spotify.com/v1/tracks/4YUv5XAsZEXq88alNkIXQf,4YUv5XAsZEXq88alNkIXQf,FALSE,TRUE,YOU,18,NA,1,track,spotify:track:4YUv5XAsZEXq88alNkIXQf,single,,,https://api.spotify.com/v1/albums/5Wmbp2HgbPjYSOA1wbcLON,5Wmbp2HgbPjYSOA1wbcLON,,TRUE,YOU,2025-04-11,day,1,album,spotify:album:5Wmbp2HgbPjYSOA1wbcLON,https://open.spotify.com/album/5Wmbp2HgbPjYSOA1wbcLON,QZK6M2592802,https://open.spotify.com/track/4YUv5XAsZEXq88alNkIXQf
,,1,180054,TRUE,https://api.spotify.com/v1/tracks/5mSRLKGJ0Uc7FW7SlJFKaP,5mSRLKGJ0Uc7FW7SlJFKaP,FALSE,TRUE,Full of Grace (I Refuse to Tend My Own Grave),69,NA,4,track,spotify:track:5mSRLKGJ0Uc7FW7SlJFKaP,album,,,https://api.spotify.com/v1/albums/7HxLze2RiYrM9f2un8HZUp,7HxLze2RiYrM9f2un8HZUp,,TRUE,THY KINGDOM COME,2025-08-01,day,10,album,spotify:album:7HxLze2RiYrM9f2un8HZUp,https://open.spotify.com/album/7HxLze2RiYrM9f2un8HZUp,QZAPK2000699,https://open.spotify.com/track/5mSRLKGJ0Uc7FW7SlJFKaP
,,2,330933,FALSE,https://api.spotify.com/v1/tracks/4purp1WOheBTHul8oiltQQ,4purp1WOheBTHul8oiltQQ,FALSE,TRUE,Sakura Biyori and Time Machine with Hatsune Miku,55,NA,20,track,spotify:track:4purp1WOheBTHul8oiltQQ,album,,,https://api.spotify.com/v1/albums/4G1L7sZheq5RAFNbqSbp3O,4G1L7sZheq5RAFNbqSbp3O,,TRUE,Ado's Best Adobum,2025-04-08,day,40,album,spotify:album:4G1L7sZheq5RAFNbqSbp3O,https://open.spotify.com/album/4G1L7sZheq5RAFNbqSbp3O,JPPO02404540,https://open.spotify.com/track/4purp1WOheBTHul8oiltQQ
,,1,366252,FALSE,https://api.spotify.com/v1/tracks/2DqhE7xzpGNsKYbptqblJg,2DqhE7xzpGNsKYbptqblJg,FALSE,TRUE,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),54,NA,3,track,spotify:track:2DqhE7xzpGNsKYbptqblJg,single,,,https://api.spotify.com/v1/albums/6KICcLGlQnS7908qVzbhP6,6KICcLGlQnS7908qVzbhP6,,TRUE,ASCEND (Tour Edits),2020-06-12,day,4,album,spotify:album:6KICcLGlQnS7908qVzbhP6,https://open.spotify.com/album/6KICcLGlQnS7908qVzbhP6,USUG12002104,https://open.spotify.com/track/2DqhE7xzpGNsKYbptqblJg
,,1,195114,FALSE,https://api.spotify.com/v1/tracks/2K1Grx3at2GH9ErGX1o9NV,2K1Grx3at2GH9ErGX1o9NV,FALSE,TRUE,Whiplash,56,NA,1,track,spotify:track:2K1Grx3at2GH9ErGX1o9NV,single,,,https://api.spotify.com/v1/albums/3JYuC5TTDbobgRCKo38xW9,3JYuC5TTDbobgRCKo38xW9,,TRUE,Whiplash,2025-03-14,day,1,album,spotify:album:3JYuC5TTDbobgRCKo38xW9,https://open.spotify.com/album/3JYuC5TTDbobgRCKo38xW9,QZTGW2403435,https://open.spotify.com/track/2K1Grx3at2GH9ErGX1o9NV
,,1,272466,FALSE,https://api.spotify.com/v1/tracks/2JPT05xVbGuIkAc0LNRo3s,2JPT05xVbGuIkAc0LNRo3s,FALSE,TRUE,風のゆくえ,55,NA,7,track,spotify:track:2JPT05xVbGuIkAc0LNRo3s,album,,,https://api.spotify.com/v1/albums/5WStsinR0ZOQRoCI6rQPZA,5WStsinR0ZOQRoCI6rQPZA,,TRUE,ウタの歌 ONE PIECE FILM RED,2022-08-09,day,8,album,spotify:album:5WStsinR0ZOQRoCI6rQPZA,https://open.spotify.com/album/5WStsinR0ZOQRoCI6rQPZA,JPPO02202657,https://open.spotify.com/track/2JPT05xVbGuIkAc0LNRo3s
,,1,368240,FALSE,https://api.spotify.com/v1/tracks/6dQHnLbn8IholTJzr58OT4,6dQHnLbn8IholTJzr58OT4,FALSE,TRUE,Ichiban no Takaramono - Yui final Ver.,42,NA,1,track,spotify:track:6dQHnLbn8IholTJzr58OT4,single,,,https://api.spotify.com/v1/albums/5quoy6Ssj2qAzn6dlohvV0,5quoy6Ssj2qAzn6dlohvV0,,TRUE,Ichiban no Takaramono -Yui final ver.- / Girls Dead Monster STARRING LiSA,2010-12-08,day,3,album,spotify:album:5quoy6Ssj2qAzn6dlohvV0,https://open.spotify.com/album/5quoy6Ssj2qAzn6dlohvV0,JPE451300582,https://open.spotify.com/track/6dQHnLbn8IholTJzr58OT4
