uuid,path,date,r,g,b
3DF5951D-A189-453A-AAE1-3C7A5631C4C1,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/3DF5951D-A189-453A-AAE1-3C7A5631C4C1.jpeg,2024-01-01 00:58:47.499000-10:00,158,151,132
02028892-EB1B-4F79-95EA-4839CA748473,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/0/02028892-EB1B-4F79-95EA-4839CA748473.jpeg,2024-01-02 11:17:37.636000-10:00,138,141,91
3C00654F-D4D3-4F79-B67E-73EE165089D5,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/3C00654F-D4D3-4F79-B67E-73EE165089D5.jpeg,2024-01-02 11:18:54.147000-10:00,176,179,181
44D12B35-E84D-439B-A5C7-C8F445FF5516,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/4/44D12B35-E84D-439B-A5C7-C8F445FF5516.jpeg,2024-01-02 11:18:56.747000-10:00,174,177,179
D11BCAD0-BAAE-4C6B-91C7-561E7E8C5479,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/D/D11BCAD0-BAAE-4C6B-91C7-561E7E8C5479.jpeg,2024-01-02 11:19:09.531000-10:00,172,179,196
A46F410A-3157-40F0-B566-73410B7503C8,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/A46F410A-3157-40F0-B566-73410B7503C8.jpeg,2024-01-02 21:46:00.542000-10:00,56,37,24
0D691DED-FAE5-465E-94C8-D831DB04D0AC,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/0/0D691DED-FAE5-465E-94C8-D831DB04D0AC.jpeg,2024-01-02 22:24:47.551000-10:00,92,80,63
BF063A85-1A03-400A-8802-00DA84C6034C,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/BF063A85-1A03-400A-8802-00DA84C6034C.jpeg,2024-01-02 22:38:23.559000-10:00,215,161,150
966789DF-574C-4EC1-BFE0-066F5D2D7F71,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/9/966789DF-574C-4EC1-BFE0-066F5D2D7F71.jpeg,2024-01-02 22:43:44.017000-10:00,191,167,147
4EC8789B-92FC-4F5D-9A1C-FE93CDB12E6F,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/4/4EC8789B-92FC-4F5D-9A1C-FE93CDB12E6F.jpeg,2024-01-02 22:55:52.403000-10:00,93,81,61
